Topology,Nodes,|K|,Budget,Gurobi (s),DA-HC (s),Speedup,Gap (%)
ER,100,590,25%,0.31,0.0141,22x,0.00
ER,200,1177,25%,1.29,0.0678,19x,0.00
ER,300,1848,25%,3.37,0.1793,19x,0.00
ER,400,2359,25%,4.55,0.2662,17x,0.00
ER,500,2993,25%,9.58,0.9871,10x,0.00
ER,100,588,50%,0.32,0.0127,25x,0.00
ER,200,1208,50%,1.07,0.0628,17x,0.00
ER,300,1822,50%,2.82,0.2770,10x,0.00
ER,400,2422,50%,5.50,0.4267,13x,0.00
ER,500,2971,50%,8.99,0.5819,15x,0.00
ER,100,581,75%,0.32,0.0139,23x,0.00
ER,200,1198,75%,1.03,0.0635,16x,0.00
ER,300,1818,75%,2.44,0.1763,14x,0.00
ER,400,2416,75%,5.61,0.3407,16x,0.00
ER,500,2992,75%,8.00,0.6126,13x,0.00
