Topology,Nodes,|K|,Sigma,Gurobi L1(s),DA-L1(s),Gap L1(%),Gurobi HW(s),DA-HW(s),Gap HW(%),Gurobi HC(s),DA-HC(s),Gap HC(%)
ER,300,1804,1000,0.04,0.1909,0.01,3.09,0.1687,0.00,3.15,0.2621,0.00
ER,300,1767,2000,0.04,0.1472,0.07,2.44,0.1349,0.00,2.44,0.3091,0.00
ER,300,1818,3000,0.05,0.1047,0.01,2.73,0.0958,0.00,2.71,0.2274,0.00
ER,300,1782,4000,0.06,0.0918,0.02,4.10,0.0764,0.00,4.09,0.1561,0.00
ER,300,1765,5000,0.07,0.0789,0.05,3.61,0.0710,0.00,3.47,0.1521,0.00
ER,300,1835,6000,0.07,0.1364,0.05,4.25,0.1276,0.00,4.16,0.3384,0.00
ER,300,1805,7000,0.08,0.1153,0.05,3.55,0.1024,0.00,4.18,0.1754,0.00
ER,300,1786,8000,0.08,0.0615,0.04,4.14,0.0561,0.00,4.15,0.1221,0.00
ER,300,1795,9000,0.08,0.1103,0.04,5.51,0.0901,0.00,4.99,0.1562,0.00
ER,300,1803,10000,0.11,0.0857,0.04,4.48,0.0724,0.00,4.44,0.1596,0.00
